Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Tagline,Outcome,Comments
IMPACCT,Sustainable Energy Solutions (SES),ALUMNI,For-profit,7/14/10,3/31/15,Resource Efficiency,Capturing CO2 from Exhaust Gas,Persist,
IMPACCT,Texas A&M University,ALUMNI,Non-profit,7/1/10,9/30/12,Resource Efficiency,Stimuli-Responsive Metal Organic Frameworks,Pivot,"the research direction has changed, but still selling the original?"
IMPACCT,"University of California, Berkeley (UC Berkeley)",ALUMNI,Non-profit,7/1/10,9/25/15,Resource Efficiency,Metal Organic Framework Research,Pivot,Focusing on biomethane
IMPACCT,"University of Colorado, Boulder (CU-Boulder)",ALUMNI,Non-profit,2/1/11,7/31/14,Resource Efficiency,Gelled Ionic Liquid-Based Membranes,Pivot,"Gelled ionic liquids didn't really work, combining with membranes"
IMPACCT,University of Notre Dame,ALUMNI,Non-profit,7/1/10,12/31/13,Resource Efficiency,Phase-Changing Ionic Liquids,Pivot,"Tested different ionic liquids, moved to encapsulated system"
IMPACCT,University of Kentucky,CANCELLED,Non-profit,7/1/10,4/18/13,Resource Efficiency,Hybrid Solvent-Membrane CO2 Capture,Pivot,
IONICS,24M Technologies,ACTIVE,,1/3/17,1/2/20,Storage,Lithium Electrode Sub-Assemblies,,
IONICS,3M,ACTIVE,,1/2/17,1/1/20,Storage,Polymeric Anion Exchange Membranes,,
IONICS,Ionic Materials,ACTIVE,,1/16/17,7/15/19,Storage,Novel Polymer Electrolyte,,
IONICS,Iowa State University (ISU),ACTIVE,,2/1/17,1/31/20,Storage,Glassy Solid Electrolytes,,
IONICS,Oak Ridge National Laboratory (ORNL),ACTIVE,,2/8/17,8/30/19,Storage,Metastable And Glassy Ionic Conductors,,
IONICS,PolyPlus Battery Company,ACTIVE,,1/20/17,7/19/19,Storage,Solid Electrolyte Protected LI Metal Electrodes,,
IONICS,Rensselaer Polytechnic Institute (RPI),ACTIVE,,1/20/17,1/19/20,Storage,Hydroxide Ion Exchange Polymers,,
IONICS,United Technologies Research Center (UTRC),ACTIVE,,2/17/17,8/16/19,Storage,Smart-FBS,,
IONICS,"University of California, San Diego (UC San Diego)",ACTIVE,,1/24/17,7/31/19,Storage,Self-Forming Solid-State Batteries,,
